Date,AAPL US Equity
11/18/2014,110.585
11/19/2014,109.8188
11/20/2014,111.3895
11/21/2014,111.5427
11/22/2014,111.5427
11/23/2014,111.5427
11/24/2014,113.6065
11/25/2014,112.6249
11/26/2014,113.9656
11/27/2014,113.9656
11/28/2014,113.8986
11/29/2014,113.8986
11/30/2014,113.8986
12/1/2014,110.2019
12/2/2014,109.7805
12/3/2014,111.0255
12/4/2014,110.6041
12/5/2014,110.1349
12/6/2014,110.1349
12/7/2014,110.1349
12/8/2014,107.6449
12/9/2014,109.2921
12/10/2014,107.2139
12/11/2014,106.8979
12/12/2014,105.0878
12/13/2014,105.0878
12/14/2014,105.0878
12/15/2014,103.6465
12/16/2014,102.2291
12/17/2014,104.7814
12/18/2014,107.8843
12/19/2014,107.0511
12/20/2014,107.0511
12/21/2014,107.0511
12/22/2014,108.162
12/23/2014,107.7789
12/24/2014,107.2714
12/25/2014,107.2714
12/26/2014,109.1676
12/27/2014,109.1676
12/28/2014,109.1676
12/29/2014,109.091
12/30/2014,107.7598
12/31/2014,105.7103
1/1/2015,105.7103
1/2/2015,104.7047
1/3/2015,104.7047
1/4/2015,104.7047
1/5/2015,101.755
1/6/2015,101.7646
1/7/2015,103.1916
1/8/2015,107.1564
1/9/2015,107.2714
1/10/2015,107.2714
1/11/2015,107.2714
1/12/2015,104.6281
1/13/2015,105.5571
1/14/2015,105.1549
1/15/2015,102.3009
1/16/2015,101.506
1/17/2015,101.506
1/18/2015,101.506
1/19/2015,101.506
1/20/2015,104.1205
1/21/2015,104.9154
1/22/2015,107.6449
1/23/2015,108.2003
1/24/2015,108.2003
1/25/2015,108.2003
1/26/2015,108.3153
1/27/2015,104.5228
1/28/2015,110.4318
1/29/2015,113.8699
1/30/2015,112.2035
1/31/2015,112.2035
2/1/2015,112.2035
2/2/2015,113.6113
2/3/2015,113.6305
2/4/2015,114.502
2/5/2015,115.3192
2/6/2015,114.3481
2/7/2015,114.3481
2/8/2015,114.3481
2/9/2015,115.1077
2/10/2015,117.3191
2/11/2015,120.0689
2/12/2015,121.588
2/13/2015,122.1841
2/14/2015,122.1841
2/15/2015,122.1841
2/16/2015,122.1841
2/17/2015,122.9052
2/18/2015,123.7561
2/19/2015,123.5014
2/20/2015,124.5061
2/21/2015,124.5061
2/22/2015,124.5061
2/23/2015,127.8761
2/24/2015,127.078
2/25/2015,123.8283
2/26/2015,125.3907
2/27/2015,123.511
2/28/2015,123.511
3/1/2015,123.511
3/2/2015,124.1167
3/3/2015,124.3763
3/4/2015,123.5879
3/5/2015,121.54
3/6/2015,121.7226
3/7/2015,121.7226
3/8/2015,121.7226
3/9/2015,122.2418
3/10/2015,119.7131
3/11/2015,117.5306
3/12/2015,119.6555
3/13/2015,118.8286
3/14/2015,118.8286
3/15/2015,118.8286
3/16/2015,120.1362
3/17/2015,122.1457
3/18/2015,123.5206
3/19/2015,122.5832
3/20/2015,121.0496
3/21/2015,121.0496
3/22/2015,121.0496
3/23/2015,122.3091
3/24/2015,121.8092
3/25/2015,118.6267
3/26/2015,119.4536
3/27/2015,118.5017
3/28/2015,118.5017
3/29/2015,118.5017
3/30/2015,121.5015
3/31/2015,119.6362
4/1/2015,119.4632
4/2/2015,120.4919
4/3/2015,120.4919
4/4/2015,120.4919
4/5/2015,120.4919
4/6/2015,122.4437
4/7/2015,121.1554
4/8/2015,120.7612
4/9/2015,121.6842
4/10/2015,122.2034
4/11/2015,122.2034
4/12/2015,122.2034
4/13/2015,121.963
4/14/2015,121.4342
4/15/2015,121.8957
4/16/2015,121.3092
4/17/2015,119.9439
4/18/2015,119.9439
4/19/2015,119.9439
4/20/2015,122.6841
4/21/2015,122.0207
4/22/2015,123.6648
4/23/2015,124.6744
4/24/2015,125.2609
4/25/2015,125.2609
4/26/2015,125.2609
4/27/2015,127.5395
4/28/2015,125.5301
4/29/2015,123.684
4/30/2015,120.3285
5/1/2015,123.9821
5/2/2015,123.9821
5/3/2015,123.9821
5/4/2015,123.7417
5/5/2015,120.9535
5/6/2015,120.1939
5/7/2015,120.9373
5/8/2015,123.2159
5/9/2015,123.2159
5/10/2015,123.2159
5/11/2015,121.9607
5/12/2015,121.5214
5/13/2015,121.6614
5/14/2015,124.5
5/15/2015,124.3262
5/16/2015,124.3262
5/17/2015,124.3262
5/18/2015,125.6972
5/19/2015,125.5813
5/20/2015,125.5717
5/21/2015,126.8558
5/22/2015,127.9661
5/23/2015,127.9661
5/24/2015,127.9661
5/25/2015,127.9661
5/26/2015,125.1469
5/27/2015,127.4882
5/28/2015,127.2323
5/29/2015,125.7841
5/30/2015,125.7841
